code,user_mst_code,title,body,remarks,created_by,updated_by,created_at,updated_at
1,1,The importance of communication in personal relationships,"Communication is a fundamental aspect of personal relationships, whether they are romantic, familial, or platonic. Effective communication is crucial in establishing and maintaining healthy relationships. Open and honest communication can strengthen the bond between individuals and build trust. Conversely, poor communication can lead to misunderstandings, conflicts, and even breakups. Therefore, it is essential to develop good communication skills and use them regularly to express feelings, thoughts, and expectations.",,Marco Polo,Marco Polo,2023-01-02 20:51:52.047175	,2023-01-02 20:51:52.047175
2,1,Communication in the workplace,"Communication is also critical in the workplace, where it facilitates collaboration, productivity, and job satisfaction. Effective communication can help to build trust and respect between colleagues, leading to better teamwork and problem-solving. It can also help to clarify expectations and reduce",,Marco Polo,Marco Polo,2023-02-13 10:52:10.434688,2023-02-13 10:52:10.434688
3,1,Human Brain,"The human brain is an incredibly complex and fascinating organ. It has over 100 billion neurons that communicate with each other through electrical and chemical signals. It's responsible for everything we think, feel, and do, and has the amazing ability to learn and adapt throughout our lives. The brain remains one of the most mysterious and awe-inspiring areas of scientific exploration.",,Marco Polo,Marco Polo,2023-03-20 20:53:11.136195,2023-03-20 20:53:11.136195
4,1,The Sky,The sky was a deep shade of blue as the sun set on the horizon. A gentle breeze carried the sound of birds chirping and leaves rustling through the air. The world seemed to slow down as I took a deep breath and enjoyed the peacefulness of the moment.,,Marco Polo,Marco Polo,2023-03-31 12:35:38.290291,2023-03-31 12:35:38.290291
5,1,Good Ol Times,"The sound of laughter filled the room as my friends and I reminisced about old times. We shared stories of our adventures and mishaps, and the memories brought tears to our eyes. In that moment, I realized how grateful I was for these people in my life. The bonds of friendship that we had formed were unbreakable, and I knew that no matter what happened, we would always be there for each other.",,Marco Polo,Marco Polo,2023-04-02 23:39:24.570171,2023-04-02 23:39:24.570171
6,1,The Forest,"As I walked through the forest, I couldn't help but marvel at the beauty of nature around me. The tall trees swayed gently in the wind, and the leaves rustled under my feet. The air was crisp and fresh, and the scent of pine filled my lungs. I closed my eyes and took a deep breath, feeling at peace in this serene environment. The world seemed to disappear as I lost myself in the tranquility of the forest.",,Marco Polo,Marco Polo,2023-04-06 23:47:12.916287,2023-04-06 23:47:12.916287
7,3,Should i keep interviewing for practice or save my energy?,"I have had been interviewing with lots of companies lately. I have like 7 interviews from the past 3 days. Just for context, I am relatively young; 18 years old and a graduating senior high student.

I just realize that it is so mentally tolling to interview continously, with no ROI at all. It is understandable though, I am still studying and not even a high school graduate. I still have two virtual interviews in line, however, I am conflicted to attend. Due to obvious reason.

My question is, do you think it is worth it to keep interviewing or should I just save my energy? Should I just focus on self studying (the route I took) and pour my energy in interviews after graduating in high school? In regards to if I would go to college, as much as I like, it is simply not sustainable for me even if I have to attend in a state university, due to life constraints.",,John Doe,John Doe,2023-03-02 13:47:12.916287,2023-03-02 13:47:12.916287
8,3,Vue vs Angular: Choose the Best Framework in 2023,"Vue and Angular are both popular front-end JavaScript frameworks used to build dynamic web applications. Both have their own unique features and advantages.

Vue is known for its simplicity and ease of use. It has a very small footprint, making it ideal for building smaller projects or prototypes. It also offers excellent documentation, making it easy for developers to learn and use. Vue is often seen as a more lightweight and flexible framework than Angular, which may make it a better choice for smaller projects or teams with limited resources. On the other hand, Angular is a comprehensive framework with a lot of built-in features, making it ideal for complex, enterprise-level applications.",,John Doe,John Doe,2023-03-15 11:47:12.916287,2023-03-15 11:47:12.916287
9,3,How lucrative is Laravel freelancing?,"I'm basically just looking for some ways to help pay the bills, and I was wondering if any of you fine folks have tried picking up Laravel-related freelance jobs, on something like Upwork. Is it worth doing, or is there a better way?	",,John Doe,John Doe,2023-03-23 11:47:12.916287,2023-03-23 11:47:12.916287
10,3,Educate me about CPU thermals. Genuine question,"I understand that a CPU has a base clock and a boost clock. The CPU understands when it needs to boost to gain some extra juice and perform better in certain applications and programs. It doesn't boost if it knows there isn't adequate cooling, hence your performance suffers by thermal throttling, so it requires a stronger cooler (be it a tower air cooler, custom loop water cooling, or an AIO).

I'm using a Ryzen 5 5600. My question is, since my CPU reaches its boost clock of 4450 mhz even on intense gaming sessions and the temps maxed out that I have recorded and monitored via NZXT CAM is 69 degrees (nice), would there be any difference in terms of performance if I upgraded to a tower air cooler, seeing as to how I've reached the boost clock of my CPU under thermal-throttling territory.",,John Doe,John Doe,2023-03-30 16:47:12.916287,2023-03-30 16:47:12.916287
